ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
1.202.192.42,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.202.198.86,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.203.174.102,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh)|RTBH (Turkiye)|Stamparm IPsum,4,attacker,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.204.166.3,ipv4,False,GreenSnow|RTBH (Turkiye)|Stamparm IPsum,3,attacker,60,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.204.206.182,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.205.223.254,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.209.110.147,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.21.121.177,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.212.225.99,ipv4,False,AbuseIPDB|Blocklist.de (all)|Blocklist.de (mail)|Blocklist.de (strongips)|GreenSnow|RTBH (Turkiye)|Stamparm IPsum,7,crowd-sourced,100,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.213.214.233,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.117.218,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin)|RTBH (Turkiye),4,attacker,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.117.219,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin),3,attacker,60,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.197.163,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.214.114,ipv4,False,Blocklist.de (all)|RTBH (Turkiye)|Stamparm IPsum,3,attacker,60,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.29.155,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.42.172,ipv4,False,Blocklist.de (strongips)|RTBH (Turkiye),2,attacker,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.214.98.143,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.215.138.43,ipv4,False,GreenSnow|RTBH (Turkiye),2,attacker,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.215.16.70,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.217.23.206,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.22.105.185,ipv4,False,Blocklist.de (all)|Blocklist.de (bots),2,attacker,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.22.114.164,ipv4,False,AbuseIPDB|GreenSnow|RTBH (Turkiye)|Stamparm IPsum,4,crowd-sourced,80,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.22.196.50,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.220.119.115,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.220.146.226,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.220.233.171,ipv4,False,AbuseIPDB|Blocklist.de (all)|Blocklist.de (ssh)|RTBH (Turkiye)|Stamparm IPsum,5,crowd-sourced,100,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.220.61.114,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.220.95.211,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.220.95.214,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin)|RTBH (Turkiye)|SGB (Turkiye),5,attacker,100,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.222.42.237,ipv4,False,Blocklist.de (all)|Blocklist.de (apache)|Blocklist.de (bruteforcelogin)|GreenSnow|RTBH (Turkiye)|Stamparm IPsum,6,attacker,100,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.223.11.69,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.224.138.250,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.225.62.211,ipv4,False,CINS Army,1,scanner,20,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
1.227.228.131,ipv4,False,AbuseIPDB|Blocklist.de (all)|Blocklist.de (mail)|GreenSnow|RTBH (Turkiye)|Stamparm IPsum,6,crowd-sourced,100,2026-08-15T03:04:52.941131+00:00,2026-08-15T03:04:52.941131+00:00
